iter	MultiClass
0	0.9564917714
1	0.8461296569
2	0.7602634704
3	0.6892135219
4	0.6307631652
5	0.5813942749
6	0.5391535095
7	0.5033742529
8	0.4726771554
9	0.4459085
10	0.421960176
11	0.401272762
12	0.3830769555
13	0.3671075302
14	0.3532635902
15	0.3408221093
16	0.3301213361
17	0.3209517951
18	0.3125807272
19	0.3047190549
20	0.2980418944
21	0.2922802605
22	0.2867625398
23	0.2816858904
24	0.2770967249
25	0.2732929359
26	0.2703400747
27	0.2671018816
28	0.2642648881
29	0.2615650154
30	0.2594214052
31	0.2573997427
32	0.2553960573
33	0.2532332094
34	0.251493534
35	0.2507150385
36	0.2489846406
37	0.2476958041
38	0.2465174238
39	0.2450542374
40	0.2441834583
41	0.2432736119
42	0.2421365095
43	0.2414165958
44	0.2405068529
45	0.2398600199
46	0.2391297554
47	0.2386017361
48	0.2379339422
49	0.2372324406
50	0.236760583
51	0.236248403
52	0.2358062775
53	0.2351661868
54	0.2347559505
55	0.2342979657
56	0.2337318286
57	0.2333468949
58	0.2330778385
59	0.2328698897
60	0.2325471753
61	0.2320900392
62	0.2316965813
63	0.2314088874
64	0.2311441928
65	0.230863093
66	0.2305383063
67	0.2302521691
68	0.2299503526
69	0.2296923072
70	0.2295096368
71	0.2293521213
72	0.2289479941
73	0.2286973718
74	0.2284758544
75	0.2283022953
76	0.2280610191
77	0.2279496817
78	0.2277842284
79	0.2275075577
80	0.2273269715
81	0.2271283005
82	0.2269365371
83	0.2267160556
84	0.2265397821
85	0.2263932386
86	0.2261084307
87	0.2258651173
88	0.2256197055
89	0.2253539709
90	0.2251307587
91	0.2250088472
92	0.2248774826
93	0.2247394799
94	0.2245800755
95	0.2245084468
96	0.2243547399
97	0.224155785
98	0.2240082287
99	0.2238007396
100	0.2236438109
101	0.223522273
102	0.2233967824
103	0.2232809219
104	0.2231895325
105	0.2229072435
106	0.2226985925
107	0.2225856958
108	0.2224888952
109	0.2223615871
110	0.2221449975
111	0.2219429726
112	0.2217836891
113	0.2216894021
114	0.2215455711
115	0.2213630341
116	0.2212000055
117	0.2209269117
118	0.2207780566
119	0.2206522021
120	0.2204320446
121	0.2202919777
122	0.2201907791
123	0.2200133025
124	0.2198803898
125	0.2196969115
126	0.2195611392
127	0.2193746766
128	0.2192972115
129	0.2191557012
130	0.2189968727
131	0.218903059
132	0.2187826649
133	0.2185620922
134	0.218457998
135	0.2183300021
136	0.2181663658
137	0.2180218573
138	0.217825995
139	0.2177372175
140	0.2174990367
141	0.2173448272
142	0.217132618
143	0.21704148
144	0.2168943589
145	0.216744723
146	0.2165923706
147	0.2164834091
148	0.216359929
149	0.2162022012
150	0.2161036761
151	0.2159958736
152	0.2159037939
153	0.2158106013
154	0.2156606235
155	0.2154821758
156	0.2153342815
157	0.2152095415
158	0.2151004223
159	0.2149818846
160	0.2148880453
161	0.2147764639
162	0.2146437499
163	0.2145336812
164	0.2144435976
165	0.21430237
166	0.2141630639
167	0.2139971845
168	0.213880277
169	0.2137765819
170	0.2136925488
171	0.2136195367
172	0.2134743927
173	0.2133270339
174	0.2132156323
175	0.2130613377
176	0.2129507938
177	0.2128501114
178	0.2126710929
179	0.2125407799
180	0.2124226803
181	0.2122443619
182	0.2121523735
183	0.2120529594
184	0.2119481059
185	0.2118588307
186	0.2117030698
187	0.2115944235
188	0.211409468
189	0.2112898297
190	0.2111196387
191	0.210970537
192	0.2108952197
193	0.2108267383
194	0.210753154
195	0.2106808286
196	0.2105895505
197	0.2104740017
198	0.2103556427
199	0.2102553352
200	0.2101796941
201	0.210055294
202	0.2099641646
203	0.2098380737
204	0.2097654306
205	0.2097067919
206	0.2095787774
207	0.2094550089
208	0.2093356011
209	0.2092545373
210	0.2090952267
211	0.2090195532
212	0.2088968455
213	0.2088065593
214	0.2087151126
215	0.2085908818
216	0.2084919489
217	0.2084199829
218	0.2083259016
219	0.2082704915
220	0.2081693808
221	0.2080727283
222	0.2079503627
223	0.2078903383
224	0.2078037274
225	0.2077416888
226	0.207628942
227	0.2075250335
228	0.2074663543
229	0.2073567571
230	0.2072873138
231	0.2072162694
232	0.207091044
233	0.2069810133
234	0.2069070318
235	0.206805997
236	0.2066602246
237	0.206541265
238	0.2064117998
239	0.2062285383
240	0.2061487878
241	0.2060127775
242	0.2059377946
243	0.2058151532
244	0.2056887843
245	0.2055712316
246	0.2055000229
247	0.2054077972
248	0.2053024971
249	0.2052255055
250	0.2050970259
251	0.2050143939
252	0.204946654
253	0.2048525901
254	0.2047717191
255	0.2047091807
256	0.2045635458
257	0.2044383254
258	0.2043431747
259	0.2042505001
260	0.2041537866
261	0.20409599
262	0.2039370159
263	0.2038219429
264	0.2037465791
265	0.2036123117
266	0.2034805836
267	0.203386475
268	0.2032899384
269	0.2031718566
270	0.2031332126
271	0.2030584177
272	0.2029527132
273	0.2028790521
274	0.2028367528
275	0.2026820962
276	0.2026109132
277	0.2024551954
278	0.2023919617
279	0.2023373618
280	0.2022168741
281	0.2021140343
282	0.2020297714
283	0.201897186
284	0.2017676717
285	0.2016905843
286	0.2015780905
287	0.2015206278
288	0.2014471316
289	0.2013129101
290	0.2011708272
291	0.2011081893
292	0.2009844898
293	0.2009085664
294	0.2008289696
295	0.2007437438
296	0.2006854735
297	0.2006158179
298	0.2005141866
299	0.2003742784
