iter	Passed	Remaining
0	300	89764
1	535	79742
2	819	81174
3	1060	78445
4	1304	76959
5	1548	75852
6	1780	74510
7	2018	73691
8	2267	73314
9	2525	73229
10	2788	73263
11	3100	74416
12	3411	75307
13	3708	75760
14	3981	75647
15	4258	75586
16	4530	75416
17	4787	75011
18	5042	74575
19	5297	74168
20	5562	73895
21	5789	73154
22	6019	72499
23	6254	71925
24	6544	71990
25	6786	71515
26	7048	71264
27	7342	71331
28	7673	71708
29	7978	71803
30	8260	71681
31	8552	71626
32	8805	71244
33	9071	70969
34	9459	71624
35	9622	70567
36	9922	70526
37	10192	70273
38	10463	70026
39	10717	69664
40	10953	69192
41	11196	68780
42	11488	68664
43	11755	68397
44	12065	68371
45	12341	68144
46	12598	67815
47	12834	67382
48	13097	67093
49	13370	66851
50	13638	66589
51	13886	66225
52	14188	66126
53	14434	65757
54	14707	65516
55	14959	65178
56	15263	65069
57	15549	64878
58	15854	64763
59	16226	64906
60	16533	64777
61	16801	64497
62	17080	64256
63	17349	63975
64	17604	63647
65	17909	63498
66	18219	63360
67	18510	63154
68	18797	62930
69	19099	62755
70	19330	62347
71	19563	61950
72	19848	61721
73	20150	61540
74	20490	61471
75	20787	61268
76	21085	61066
77	21343	60747
78	21623	60492
79	21895	60211
80	22191	59999
81	22510	59845
82	22809	59635
83	23082	59354
84	23381	59141
85	23691	58952
86	23979	58708
87	24271	58472
88	24608	58342
89	24927	58163
90	25212	57905
91	25503	57659
92	25785	57392
93	26064	57118
94	26342	56843
95	26600	56525
96	26870	56234
97	27138	55938
98	27372	55573
99	27646	55293
100	27939	55048
101	28184	54711
102	28458	54430
103	28755	54193
104	29035	53923
105	29389	53789
106	29683	53542
107	29955	53254
108	30213	52943
109	30480	52647
110	30824	52484
111	31201	52373
112	31483	52101
113	31747	51798
114	32011	51497
115	32248	51153
116	32482	50806
117	32761	50530
118	33020	50224
119	33263	49895
120	33564	49653
121	33804	49321
122	34036	48979
123	34311	48700
124	34546	48365
125	34809	48070
126	35067	47769
127	35349	47501
128	35630	47231
129	35927	46982
130	36224	46732
131	36501	46456
132	36800	46208
133	37117	45981
134	37371	45676
135	37645	45395
136	37925	45122
137	38209	44854
138	38492	44585
139	38753	44289
140	39013	43993
141	39316	43746
142	39627	43507
143	39925	43252
144	40198	42970
145	40510	42730
146	40793	42458
147	41048	42158
148	41314	41868
149	41638	41638
150	41954	41398
151	42226	41115
152	42503	40836
153	42770	40548
154	43023	40247
155	43315	39983
156	43611	39722
157	43886	39442
158	44132	39136
159	44396	38846
160	44661	38558
161	44908	38255
162	45163	37959
163	45413	37659
164	45706	37395
165	45984	37120
166	46271	36851
167	46575	36595
168	46922	36371
169	47261	36140
170	47535	35859
171	47797	35570
172	48070	35288
173	48325	34994
174	48600	34714
175	48862	34425
176	49122	34136
177	49347	33822
178	49572	33510
179	49815	33210
180	50052	32907
181	50295	32608
182	50525	32303
183	50762	32002
184	50976	31688
185	51197	31379
186	51424	31074
187	51652	30771
188	51888	30474
189	52114	30171
190	52356	29879
191	52595	29585
192	52827	29287
193	53071	28998
194	53309	28705
195	53531	28404
196	53775	28116
197	54000	27818
198	54221	27519
199	54437	27218
200	54656	26920
201	54875	26622
202	55090	26324
203	55309	26028
204	55516	25726
205	55725	25428
206	55944	25134
207	56152	24836
208	56365	24541
209	56590	24253
210	56837	23974
211	57069	23689
212	57303	23405
213	57528	23118
214	57742	22828
215	57965	22542
216	58191	22257
217	58408	21970
218	58643	21689
219	58873	21408
220	59109	21129
221	59332	20846
222	59562	20566
223	59779	20282
224	60012	20004
225	60234	19722
226	60466	19445
227	60694	19166
228	60928	18890
229	61158	18613
230	61377	18333
231	61600	18055
232	61821	17777
233	62060	17504
234	62288	17228
235	62511	16952
236	62744	16678
237	62977	16405
238	63199	16130
239	63426	15856
240	63653	15583
241	63885	15311
242	64106	15037
243	64347	14768
244	64571	14495
245	64791	14222
246	65012	13949
247	65296	13691
248	65583	13432
249	65859	13171
250	66126	12909
251	66375	12642
252	66625	12377
253	66900	12115
254	67188	11856
255	67481	11598
256	67858	11353
257	68170	11097
258	68440	10834
259	68748	10576
260	68997	10310
261	69201	10036
262	69413	9765
263	69612	9492
264	69818	9221
265	70037	8952
266	70254	8683
267	70460	8413
268	70660	8142
269	70864	7873
270	71052	7603
271	71247	7334
272	71457	7067
273	71671	6800
274	71885	6535
275	72094	6269
276	72366	6008
277	72661	5750
278	72921	5488
279	73225	5230
280	73503	4969
281	73813	4711
282	74078	4449
283	74372	4190
284	74639	3928
285	74894	3666
286	75192	3405
287	75498	3145
288	75804	2885
289	76104	2624
290	76410	2363
291	76704	2101
292	77035	1840
293	77388	1579
294	77715	1317
295	78027	1054
296	78321	791
297	78594	527
298	78841	263
299	79135	0
